,review,category,AMBIENCE#GENERAL,DRINKS#PRICES,DRINKS#QUALITY,DRINKS#STYLE_OPTIONS,FOOD#PRICES,FOOD#QUALITY,FOOD#STYLE_OPTIONS,LOCATION#GENERAL,RESTAURANT#GENERAL,RESTAURANT#MISCELLANEOUS,RESTAURANT#PRICES,SERVICE#GENERAL
16,The staff is pretty friendly.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
17,The onion rings are great!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
18,They are not greasy or anything.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
19,Overrated,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
20,– I was highly disappointed in the food at Pagoda.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
21,"The lemon chicken tasted like sticky sweet donuts and the honey walnut prawns, the few they actually give you.....were not good.",FOOD#QUALITY*FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
22,"Nice ambience, but highly overrated place.",AMBIENCE#GENERAL*RESTAURANT#GENERAL,1,0,0,0,0,0,0,0,1,0,0,0
23,I will not go back.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
24,Worst Service I Ever Had,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
25,Everyone that sat in the back outside agreed that it was the worst service we had ever received.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
26,"Our waiter was non-existent and after our food finally arrived over an hour after we ordered, we were not given any water or utensils.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
27,"I complained to the manager, but he was not even apologetic.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
28,I will never return again.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
29,Fabulous Italian Food!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
30,– I highly recommend Mioposto.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
31,I am so happy to have a wonderful Italian restaurant in my neighborhood.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
32,The wine list is wonderful and the food reminds me of my recent trip to Italy.,DRINKS#STYLE_OPTIONS*FOOD#QUALITY,0,0,0,1,0,1,0,0,0,0,0,0
33,I love this restaurant,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
34,"– I will never forget the amazing meal, service, and ambiance I experience at this restaurant.",FOOD#QUALITY*SERVICE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,1,0,0,0,0,0,1
35,It was absolutely amazing.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
36,"The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.",DRINKS#STYLE_OPTIONS*FOOD#QUALITY*SERVICE#GENERAL,0,0,0,1,0,1,0,0,0,0,0,1
37,I have not a bad thing to say about this place.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
38,AMAZING.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
39,I cannot wait to go back again this coming weekend!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
40,Mmm... good!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
41,The food was great!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
42,"It's *very* reasonably priced, esp for the quality of the food.",FOOD#PRICES*FOOD#QUALITY,0,0,0,0,1,1,0,0,0,0,0,0
43,I had the Kafta plate and it was perfect.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
44,We're going back. :D,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
45,Finally a meal that you will remember for a long time!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
46,"– In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
47,This is the place to relax and enjoy the finest quality food the industry can offer.,AMBIENCE#GENERAL*FOOD#QUALITY,1,0,0,0,0,1,0,0,0,0,0,0
48,Caution - its real food for people who love the best.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
49,Very Disappointing,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
50,– I took my parents here for their anniversary-very very disappointed!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
51,I liked the atmosphere very much but the food was not worth the price.,AMBIENCE#GENERAL*FOOD#QUALITY*FOOD#PRICES,1,0,0,0,1,1,0,0,0,0,0,0
52,I may not be a sushi guru but I can tell you that the food here is just okay and that there is not much else to it.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
53,"Rice is too dry, tuna wasn't so fresh either.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
54,Nothing really came across as outstanding.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
55,Very disappointed.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
56,I have eaten here three times and have found the quality and variety of the fish to be excellent.,FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
57,"However, the value and service are both severely lacking.",SERVICE#GENERAL*RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,1
58,"Furthermore, while the fish is unquestionably fresh, rolls tend to be inexplicably bland.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
59,The service ranges from mediocre to offensive.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
60,"On a recent trip, our waiter was extremely dismissive, while no less than three staff members waited hand-and-foot on a pair of Japanese girls seated nearby.",SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
61,We were then charged for their most expensive sake ($20+ per serving) when we in fact drank a sake of less than half that price.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
62,Freshest sushi  – I love this restaurant.,FOOD#QUALITY*RESTAURANT#GENERAL,0,0,0,0,0,1,0,0,1,0,0,0
63,They pay such detail to everything from miso soup to complex rolls.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
64,The sashimi was the freshest and most tender I have ever tasted.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
65,Their apps are all delicious.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
66,The only drawback is that this place is really expensive and the portions are on the small side.,RESTAURANT#PRICES*FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,1,0
67,"But the space is small and lovely, and the service is helpful.",AMBIENCE#GENERAL*SERVICE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
68,You are bound to have a very charming time.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
69,Not recommanded!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
70,– The food was not great & the waiters were rude.,FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
71,It is not worth going at all and spend your money there!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
72,great service,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
73,– Pretty cheap for sit down Mexican AND downtown.,RESTAURANT#PRICES*LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,1,0
74,my service was stellar!,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
75,the bus boy even spotted that my table was shaking a stabilized it for me.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
76,"food was fine, with a some little-tastier-than-normal salsa.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
77,If you're in the area you shouldn't be disappointed.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
78,Ok.... – Maybe I went in on someone's bad day....,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
79,"the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.",FOOD#QUALITY*DRINKS#QUALITY*SERVICE#GENERAL,0,0,1,0,0,1,0,0,0,0,0,1
80,"Took forever to get our order taken, water refills were too much to ask for and the only time she was fast was when we asked for our bill when we could get her attention.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
81,I don't know if I'll be back....,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
82,Mama Mia – I live in the neighborhood and feel lucky to live by such a great pizza place.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
83,"the only problem is you really have to warm up the pizza before it's edible, even when you order ahead.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
84,"BUt once done, it's not too much dough, not too much cheese, not too much sauce.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
85,Best Sushi in town.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
86,"Everything you want and more, very fresh.",FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
87,"Its worth the wait, especially since they'll give you a call when the table is ready.",RESTAURANT#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,1,0,0,1
88,The best calamari in Seattle!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
89,– ...and the best summertime deck experience--they will even bring you a blanket if you get cold in the Seattle evening weather.,AMBIENCE#GENERAL*SERVICE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
90,A perfect place to take out of town guests any time of the year.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
91,"Endless fun, awesome music, great staff!!!",AMBIENCE#GENERAL*SERVICE#GENERAL*RESTAURANT#GENERAL,1,0,0,0,0,0,0,0,1,0,0,1
92,– By far the best bar in the east village...,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
93,I went there with some friends one night to play bingo and watch the sox game and it was a blast!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
94,"Every time ""0-sixtynine"" is called the bartender buys everyone drinks!",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
95,Been there lots since and its always a good time.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
96,Great draft and bottle selection and the pizza rocks.,FOOD#QUALITY*DRINKS#STYLE_OPTIONS,0,0,0,1,0,1,0,0,0,0,0,0
97,Definitely has one of the best jukebox's i've seen in a long long time.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
98,I FOUND A NEW HOME ON SECOND AVENUE!!!!!!!!!!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
99,Just go there and see for yourself.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
100,"The food is great, the bartenders go that extra mile.",FOOD#QUALITY*SERVICE#GENERAL,0,0,0,0,0,1,0,0,0,0,0,1
101,"You need to watch your game, they will have it on for you.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
102,The owners are great fun and the beer selection is worth staying for.,SERVICE#GENERAL*DRINKS#STYLE_OPTIONS,0,0,0,1,0,0,0,0,0,0,0,1
103,And the upstairs is a great place to hang out.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
104,"Not alot of smoking places left in New York, but I have found my favorite smoking balconey in the city.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
105,Kudos to these guys.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
106,I found a new home and just moved with a long lease.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
107,The sushi here is delicious!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
108,They have a wide variety of fish and they even list which oceans they come from; Atlantic or Pacific.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
109,"I've had the Jellyfish, Horse Mackerel, Blue Fin Tuna and the Sake Ikura roll among others, and they were all good.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
110,My only negative comment is that I wish the pieces were a little bigger.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
111,"The decor is rustic, traditional Japanese.",AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
112,"The crowd is mixed yuppies, young and old.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
113,The service was courteous and attentive.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
114,Mediocre food,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
115,The outside patio area has an abbreviated menu.,FOOD#STYLE_OPTIONS,0,0,0,0,0,0,1,0,0,0,0,0
116,My g/f and I both agreed the food was very mediocre especially considering the price.,FOOD#QUALITY*FOOD#PRICES,0,0,0,0,1,1,0,0,0,0,0,0
117,"We are locals, and get the feeling the only way this place survives with such average food is because most customers are probably one-time customer tourists.",FOOD#QUALITY*RESTAURANT#GENERAL,0,0,0,0,0,1,0,0,1,0,0,0
118,Service was decent.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
119,Drinks were good.,DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
120,Unless you are just stopping in for a few drinks I wouldn't recommend going here.,DRINKS#QUALITY*RESTAURANT#GENERAL,0,0,1,0,0,0,0,0,1,0,0,0
121,You are likely to be disappointed.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
122,"Excellent food, nice ambience, fairly expensive",FOOD#QUALITY*AMBIENCE#GENERAL*RESTAURANT#PRICES,1,0,0,0,0,1,0,0,0,0,1,0
123,– I loved the pumpkin ravioli and the goat cheese gnocchi (5 big ones to a plate instead of 20 or so little gnocchis) and my sister loved her filet mignon on top of spinach and mashed potatoes.,FOOD#QUALITY*FOOD#QUALITY*FOOD#STYLE_OPTIONS*FOOD#QUALITY,0,0,0,0,0,1,1,0,0,0,0,0
124,The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
125,"It was romantic - and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.",AMBIENCE#GENERAL*AMBIENCE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
126,I recommend it for a night when you want to splurge! (it was a bit expensive),RESTAURANT#GENERAL*RESTAURANT#PRICES,0,0,0,0,0,0,0,0,1,0,1,0
127,Best Indian food in L.A.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
128,"The best thing is, the prices are also quite reasonable.",RESTAURANT#PRICES,0,0,0,0,0,0,0,0,0,0,1,0
129,The chicken curry and chicken tikka masala are my favorite meat dishes.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
130,The chana masala (garbanzo beans) are also excellent.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
131,"It's located in a strip mall near the Beverly Center, not the greatest location, but the food keeps me coming back for more.",LOCATION#GENERAL*FOOD#QUALITY,0,0,0,0,0,1,0,1,0,0,0,0
132,hidden little jem,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
133,– tucked away over by the Beverly Center.,LOCATION#GENERAL,0,0,0,0,0,0,0,1,0,0,0,0
134,Never too crowded and always great service.,SERVICE#GENERAL*RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,1
135,I think I have probably tried each item on their menu at least once it is all excellent.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
136,I can highly recommend their various saag and paneer and korma.,FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
137,"You routinely see Indian families and friends dining there, which is always a good sign.",RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
138,I appreciate their delivery too.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
139,Nice food but no spice!,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
140,– I really enjoyed my meal here.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
141,"I had yummy lamb korma, saag paneer, samosas, naan, etc.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
142,The food was all good but it was way too mild.,FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
143,"Normally, places ask how hot you want it, but they didn't.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
144,I should have thought to bring it up but never expected the food to be that mild.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
145,"The naan was some of the best I've had and I really enjoyed the bhartha, not too tomatoey.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
146,"Even the chickpeas, which I normally find too dry, were good.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
147,And they packaged everything nicely so it didn't spill.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
148,awesome find,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
149,"– I don't understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas - EVERYTHING is delicious.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*RESTAURANT#GENERAL,0,0,0,0,0,1,0,0,1,0,0,0
150,I love the warm & cosy environment.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
151,I just found out that you can have the place to yourself on nights and weekends for a private party - can't wait to celebrate my next birthday there.,RESTAURANT#MISCELLANEOUS,0,0,0,0,0,0,0,0,0,1,0,0
152,"best restaurant in the world, great decor, great customer service, friendly manager",RESTAURANT#GENERAL*AMBIENCE#GENERAL*SERVICE#GENERAL*SERVICE#GENERAL,1,0,0,0,0,0,0,0,1,0,0,1
153,i am never disappointed with there food.,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
154,the atmosphere is great.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
155,great lunch spot,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
156,– Great financial district mexican spot.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
157,"Always busy, but they are good at seating you promptly and have quick service.",SERVICE#GENERAL*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
158,"Everything I've had here is good, taco salads, burritos, enchiladas i love this place.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*RESTAURANT#GENERAL*FOOD#QUALITY,0,0,0,0,0,1,0,0,1,0,0,0
159,Also have great margaritas!,DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
160,You can order to go if you have to get back to the office too!,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
161,Lebanese Food!Yum!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
162,"– I've been to Open Sesame only once, but I'm still reeling from the experience!!",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
163,The food is simply unforgettable!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
164,"The presentation of the food was an added bonus, it looked just as great as it tasted!",FOOD#STYLE_OPTIONS*FOOD#QUALITY,0,0,0,0,0,1,1,0,0,0,0,0
165,My best friend had the chicken shawarma and she STILL raves about it being the best anywhere!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
166,"What a tastly, flaky treat!",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
167,The staff are friendly and the decor was ethic and colorful.,SERVICE#GENERAL*AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
168,GO TO OPEN SESAME!!!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
169,Holy Hummus!,FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
170,"– The food is here is incredible, though the quality is inconsistent during lunch.",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
171,"Dinners have always been excellent, in terms of food quality.",FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
172,The open sesame combo plate is a bargain for the heap of food given.,FOOD#PRICES*FOOD#STYLE_OPTIONS,0,0,0,0,1,0,1,0,0,0,0,0
173,"The side of potatoes is to die for, as is the labne (yogurt dip).",FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
174,"Also, they serve THE best hummus in America, with a drizzle of fragrant olive oil (which, I believe is the traditional way)!",FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
175,The only drawback is the crowded seating and the slow service.,RESTAURANT#MISCELLANEOUS*SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,1,0,1
176,There have been several occasions when we've just not gotten some side dishes we've ordered.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
177,"However, this place is a gem, and I won't stop going back.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
178,great beer,DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
179,– My first time to dine at this restaurant was with my son and it was absolutely horrible!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
180,We waited over 30 minutes for our drinks and over 1 1/2 hours for our food.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
181,I swore never to return for a warm beer and mediocre meal.,DRINKS#QUALITY*FOOD#QUALITY,0,0,1,0,0,1,0,0,0,0,0,0
182,"HOWEVER, one Sunday afternoon my husband and I did go (although with my loud protests) and were pleasantly surprised.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
183,The band was very good and the service was attentive.,AMBIENCE#GENERAL*SERVICE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,1
184,"We ordered a selection of the small plates, and the shoe string onions, goat cheese pizza, grilled asparagus and fried brie with fruit were all very good.",FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY*FOOD#QUALITY,0,0,0,0,0,1,0,0,0,0,0,0
185,It was like dining at a completely different restaurant.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
186,"We have since returned and also had a great experience, sampling more small plates and a variety of the beer ( cold and good).",DRINKS#QUALITY*RESTAURANT#GENERAL,0,0,1,0,0,0,0,0,1,0,0,0
187,"We did have the same waiter the second time, so maybe the service is spotty and our luck is good.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
188,Sunday afternoons there is a band playing and it is lots of fun.,AMBIENCE#GENERAL,1,0,0,0,0,0,0,0,0,0,0,0
189,Seattle's BEST Winelist,DRINKS#STYLE_OPTIONS,0,0,0,1,0,0,0,0,0,0,0,0
190,– Ray's (suprisingly) has the city's BEST & most diverse wine list.,DRINKS#STYLE_OPTIONS,0,0,0,1,0,0,0,0,0,0,0,0
191,"The sommelier is fantastic, down-to-earth, & extremely knowlegable.",SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
192,I would go back for the wine experience alone.,DRINKS#QUALITY,0,0,1,0,0,0,0,0,0,0,0,0
193,Nice job!,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
194,NOT THE PLACE IT ONCE WAS,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
195,"– It is sad to see a place that was once ""THE"" place to meet and eat for Bfast or Lunch, now be the place that is a big ""DONT BOTHER.""",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
196,"The food is not what it once was (potions have seriously seen downsizing) prices have gone up, and the service is the worst I have experienced anywhere (including mainland Europe).",FOOD#QUALITY*FOOD#STYLE_OPTIONS*SERVICE#GENERAL*FOOD#PRICES,0,0,0,0,1,1,1,0,0,0,0,1
197,What may be interesting to most is the worst sevice/attitude comes from the owners of this establishment.,SERVICE#GENERAL,0,0,0,0,0,0,0,0,0,0,0,1
198,"This establishment really made a marked decline after ( and this is recurring story ) the airing of FOOD TELEVISIONS ""DINERS, DRIVE-INS, AND DIVES"" hosted by Guy Fieri, in which Schooner or Later was subject of.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
199,"Perhaps now, Scooner or Later falls into the ""Dive"" category.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
200,This is sad for what once was one of the best places you could ever eat.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
201,I hope one day Scooner or Later returns to what it once was.,RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
202,"Untill this happens, my advice is to STAY AWAY.",RESTAURANT#GENERAL,0,0,0,0,0,0,0,0,1,0,0,0
203,Open & Cool Place with the Best Pizza and Coffee,AMBIENCE#GENERAL*FOOD#QUALITY*DRINKS#QUALITY,1,0,1,0,0,1,0,0,0,0,0,0
204,– Mioposto has a very creative & delicious pizza menu.,FOOD#QUALITY*FOOD#STYLE_OPTIONS,0,0,0,0,0,1,1,0,0,0,0,0
